t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
leaf2,leaf4,leaf5,leaf7,0.72,0.1,0.18,100.0
leaf2,leaf4,leaf5,leaf8,0.34,0.36,0.3,100.0
leaf2,leaf4,leaf5,leaf9,0.62,0.18,0.2,100.0
leaf2,leaf4,leaf6,leaf7,0.39,0.24,0.37,100.0
leaf2,leaf4,leaf6,leaf8,0.42,0.29,0.29,100.0
leaf2,leaf4,leaf6,leaf9,0.35,0.26,0.39,100.0
leaf2,leaf4,leaf7,leaf8,0.33,0.38,0.29,100.0
leaf2,leaf4,leaf7,leaf9,0.5,0.23,0.27,100.0
leaf2,leaf4,leaf8,leaf9,0.33,0.3,0.37,100.0
leaf2,leaf5,leaf6,leaf7,0.16,0.64,0.2,100.0
leaf2,leaf5,leaf6,leaf8,0.41,0.25,0.34,100.0
leaf2,leaf5,leaf6,leaf9,0.19,0.58,0.23,100.0
leaf2,leaf5,leaf7,leaf8,0.09,0.22,0.69,100.0
leaf2,leaf5,leaf7,leaf9,0.07,0.51,0.42,100.0
leaf2,leaf5,leaf8,leaf9,0.18,0.6,0.22,100.0
leaf2,leaf6,leaf7,leaf8,0.25,0.41,0.34,100.0
leaf2,leaf6,leaf7,leaf9,0.42,0.29,0.29,100.0
leaf2,leaf6,leaf8,leaf9,0.23,0.31,0.46,100.0
leaf2,leaf7,leaf8,leaf9,0.25,0.5,0.25,100.0
leaf3,leaf4,leaf5,leaf6,0.0,1.0,0.0,100.0
leaf3,leaf4,leaf5,leaf7,0.0,0.99,0.01,100.0
leaf3,leaf4,leaf5,leaf8,0.0,1.0,0.0,100.0
leaf3,leaf4,leaf5,leaf9,0.06,0.91,0.03,100.0
leaf3,leaf4,leaf6,leaf7,0.17,0.13,0.7,100.0
leaf3,leaf4,leaf6,leaf8,0.35,0.3,0.35,100.0
leaf3,leaf4,leaf6,leaf9,0.16,0.18,0.66,100.0
leaf3,leaf4,leaf7,leaf8,0.14,0.7,0.16,100.0
leaf3,leaf4,leaf7,leaf9,0.11,0.41,0.48,100.0
leaf3,leaf4,leaf8,leaf9,0.13,0.16,0.71,100.0
leaf3,leaf5,leaf6,leaf7,0.99,0.0,0.01,100.0
leaf3,leaf5,leaf6,leaf8,1.0,0.0,0.0,100.0
leaf3,leaf5,leaf6,leaf9,0.91,0.06,0.03,100.0
leaf3,leaf5,leaf7,leaf8,0.99,0.01,0.0,100.0
leaf3,leaf5,leaf7,leaf9,0.9,0.07,0.03,100.0
leaf3,leaf5,leaf8,leaf9,0.91,0.06,0.03,100.0
leaf3,leaf6,leaf7,leaf8,0.13,0.65,0.22,100.0
leaf3,leaf6,leaf7,leaf9,0.08,0.4,0.52,100.0
leaf3,leaf6,leaf8,leaf9,0.12,0.2,0.68,100.0
leaf3,leaf7,leaf8,leaf9,0.37,0.14,0.49,100.0
leaf4,leaf5,leaf6,leaf7,0.17,0.7,0.13,100.0
leaf4,leaf5,leaf6,leaf8,0.35,0.35,0.3,100.0
leaf4,leaf5,leaf6,leaf9,0.16,0.66,0.18,100.0
leaf4,leaf5,leaf7,leaf8,0.14,0.16,0.7,100.0
leaf4,leaf5,leaf7,leaf9,0.11,0.48,0.41,100.0
leaf4,leaf5,leaf8,leaf9,0.13,0.71,0.16,100.0
leaf4,leaf6,leaf7,leaf8,0.34,0.34,0.32,100.0
leaf4,leaf6,leaf7,leaf9,0.49,0.26,0.25,100.0
leaf4,leaf6,leaf8,leaf9,0.31,0.3,0.39,100.0
leaf4,leaf7,leaf8,leaf9,0.22,0.56,0.22,100.0
leaf5,leaf6,leaf7,leaf8,0.13,0.65,0.22,100.0
leaf5,leaf6,leaf7,leaf9,0.08,0.4,0.52,100.0
leaf5,leaf6,leaf8,leaf9,0.12,0.2,0.68,100.0
leaf5,leaf7,leaf8,leaf9,0.37,0.14,0.49,100.0
leaf6,leaf7,leaf8,leaf9,0.2,0.52,0.28,100.0
